Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0805,2,100nF,
"D1, D2, D3, D4",D_SOD-123F,4,1N4007,
"D6, D7, D8, D9",0805,4,yellow,
"J1, J11, J2, J3, J4","TerminalBlock_Phoenix_MPT-0,5-2-2.54_1x02_P2.54mm_Horizontal",5,Screw_Terminal_01x02,
J10,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Pin,
"J12, J5, J6, J7, J8, J9",PinHeader_1x03_P2.54mm_Vertical,6,Conn_01x03_Pin,
J13,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,1,Conn_01x02_Pin,
"Q1, Q2, Q3, Q4",SOT-23_Handsoldering,4,2N7002,
"R1, R2, R3, R4",0805,4,1k,
"R10, R11, R5, R6, R7, R8, R9",0805,7,10k,
"SW1, SW2",SW_Push_1P1T_NO_6x6mm_H9.5mm,2,SW_Omron_B3FS,
U1,MODULE_ESP32-C3_SUPERMINI,1,ESP32-C3_SUPERMINI,
U2,SK12D07VG4,1,SK12D07VG4,
U3,TSSOP-14_4.4x5mm_P0.65mm,1,TXB0104PW,
