Designator,Mid X,Mid Y,Rotation,Layer
C1,153.2,-72.45,270.0,top
C2,153.1,-76.05,270.0,top
D1,158.3,-77.735,180.0,top
D2,158.1,-89.85,180.0,top
D3,126.4,-89.975,180.0,top
D4,126.5,-76.8,180.0,top
D6,159.6,-85.275,90.0,top
D7,159.6,-97.275,90.0,top
D8,127.8,-97.575,90.0,top
D9,127.8,-84.175,90.0,top
J1,164.26,-82.112542,90.0,top
J10,142.15,-106.5,270.0,top
J11,128.03,-71.04,180.0,top
J12,130.0825,-106.5,270.0,top
J13,119.9,-71.35,0.0,top
J2,164.26,-94.25,90.0,top
J3,119.8,-94.3,270.0,top
J4,119.8,-82.162542,270.0,top
J5,154.2175,-106.5,270.0,top
J6,153.45,-82.112542,0.0,top
J7,153.4,-94.525,0.0,top
J8,130.56,-94.725,0.0,top
J9,130.61,-81.525,0.0,top
Q1,156.95,-81.0875,270.0,top
Q2,156.85,-93.1125,270.0,top
Q3,124.977,-93.2625,270.0,top
Q4,125.15,-79.9625,270.0,top
R1,159.65,-80.725,270.0,top
R10,158.7125,-110.5,0.0,top
R11,125.6125,-110.4,180.0,top
R2,159.6,-92.7375,270.0,top
R3,127.8,-92.8875,270.0,top
R4,127.84,-79.7475,270.0,top
R5,137.8,-98.1125,270.0,top
R6,157.0,-85.5875,270.0,top
R7,156.8,-97.6875,270.0,top
R8,124.727,-97.8875,270.0,top
R9,125.1,-84.4875,270.0,top
SW1,163.95,-106.5,90.0,top
SW2,120.35,-106.5,270.0,top
U1,142.0,-80.77,0.0,top
U2,160.75,-70.9,180.0,top
U3,142.0,-98.0625,180.0,top
